[0.00015913100449183037, 0.8412136540227783, 0.24226363364034065, 0.01016767395306728, 0.38789367010550047, 0.14069020968361134, 0.9940517963817732, 0.2516144956100901, 0.39113458028530856, 0.5617373372941833]	[0.8275074191121531]
[0.19475350441195893, 0.011821959589020103, 0.005718787252573243, 0.05899151613720888, 0.9142991760633831, 0.800454556673374, 0.45183989638750244, 0.145060230860256, 0.8671108421740962, 0.069202784361163]	[1.2789111362629517]
[0.0975602374081691, 0.11058522640887947, 0.2222384573270807, 0.9460277198687983, 0.7138143691962705, 0.9505156935754517, 0.6449832048218921, 0.6125684616167009, 0.5608591758784862, 0.7900902638663024]	[1.0373758158054107]
[0.8069953638128003, 0.7490071085406764, 0.8358968047678774, 0.8607641760156018, 0.995213049790116, 0.9003631117328477, 0.4180528440216249, 0.6382252580972997, 0.8058115674255777, 0.774311382208122]	[1.117094228448883]
[0.19367115009381053, 0.16360119818131125, 0.09664520685582345, 0.049724750751656055, 0.7136127326460171, 0.3182393371811436, 0.8694274221142847, 0.9018825391593288, 0.4413724451525045, 0.25451505936900753]	[0.5918322620458639]
[0.8964033918151767, 0.37330908161338794, 0.13671256929502695, 0.6092960294529166, 0.5517951439670561, 0.06037218153428614, 0.9226953145596729, 0.30682915913645614, 0.5189026769550512, 0.8607747699089561]	[1.5859109113288037]
[0.4319460117663161, 0.9724617864131179, 0.9031840648082067, 0.6261301567864583, 0.05300201125911119, 0.5080703782258819, 0.8622271492533505, 0.323453534242659, 0.5595286033629927, 0.4029744909273262]	[0.8984531895610666]
[0.933266357917327, 0.3573229826058859, 0.16380523709260753, 0.41283726388521635, 0.24852181335459056, 0.15602585085928478, 0.8164965951909807, 0.723023620592881, 0.40173699794155404, 0.3201265811002949]	[1.6016700516254612]
[0.776201060572142, 0.781490814391747, 0.1410428073933272, 0.3400268038585553, 0.20705335704103023, 0.819412897766449, 0.8949216207052914, 0.8407860553759571, 0.3563710467701898, 0.8976654086693496]	[1.2391209890354753]
[0.23296101534694513, 0.9812497044689694, 0.9473431925529208, 0.3769153764108949, 0.18711011271467648, 0.6249314866127131, 0.7637663955818675, 0.3461817340681075, 0.37541973792850536, 0.7439043890590941]	[0.9836557497757145]
[0.1651078117438064, 0.3478680181529915, 0.04669155268114289, 0.6607359176167876, 0.664975911651824, 0.6651012338488191, 0.38553139602569975, 0.4757410104394323, 0.6416235763945772, 0.05757817641331686]	[1.0461626368764672]
[0.22615603291200237, 0.8485993730483998, 0.40634004424883363, 0.5134292874885199, 0.8585489332702579, 0.05930107812416896, 0.6025784057379013, 0.7835704606765563, 0.952290039801953, 0.4420945963555605]	[1.1401178353096408]
[0.040448763333230664, 0.7644255444984366, 0.7438737249137221, 0.5633952958563035, 0.8525496404545424, 0.9466565740730395, 0.24176599312724112, 0.9888891705772672, 0.7156697736006408, 0.9731683225737989]	[1.2375417554075843]
[0.7184487203991525, 0.022589847866491097, 0.20473426754943702, 0.8874166854440186, 0.5827715723406318, 0.4884145631705721, 0.7703783770100052, 0.3956010182711187, 0.7880386777318218, 0.7102904222659652]	[1.1129917990778853]
[0.5625968885107763, 0.7394286039728613, 0.4466657269393345, 0.3235102141847749, 0.8701186473832384, 0.2713101890402386, 0.7028831754530517, 0.8637449334994903, 0.2970337461126986, 0.7119078553218037]	[1.1248927748080828]
[0.5567578323907927, 0.2928244827217735, 0.6925905806684827, 0.4889479596695293, 0.16556295829718048, 0.6689478809999669, 0.6694319488807209, 0.04770395390441462, 0.9368815244924527, 0.8258425159439643]	[0.9859456008614795]
[0.9103919838063894, 0.7685284331014975, 0.20271400790555516, 0.7787262558086455, 0.31578276515177495, 0.053807406382731515, 0.5449459005686469, 0.28869049102134003, 0.7520888141572684, 0.06224905798342484]	[1.0897481906333597]
[0.35529887879654587, 0.19241056968824233, 0.14894214183703203, 0.5412293459120686, 0.4950442293671412, 0.7325912869835256, 0.43033676937545473, 0.22757818162384702, 0.036956544609724196, 0.7928165027198505]	[0.794696886799384]
[0.7582476502596641, 0.9521258447916562, 0.08885549967670847, 0.4183737961995547, 0.19453069994310257, 0.5981847398639826, 0.05522128869544585, 0.3514815800743297, 0.3480758553037665, 0.8537061411422249]	[0.6610474692224615]
