gen	evals	min                                                          	max                                                          	avg	std                                                          
48 	100  	[0.00566021 0.         0.         0.00084286]                	[0.01127603 0.89655172 0.03827977 0.00203763]                	   	[0.00085204 0.09517933 0.00369715 0.00017768]                
49 	100  	[5.66020974e-03 0.00000000e+00 7.57606935e-05 8.42855301e-04]	[0.01113401 0.89655172 0.0926276  0.01630681]                	   	[0.00087407 0.1008633  0.00922454 0.00179599]                
50 	100  	[0.00388031 0.         0.         0.0008402 ]                	[0.00921753 0.89655172 0.23664367 0.03267178]                	   	[0.00068957 0.13762233 0.04017744 0.0053009 ]                
51 	100  	[0.00329866 0.         0.00108123 0.00084286]                	[0.00566328 0.29487179 0.52331372 0.09856123]                	   	[0.00061083 0.07769695 0.11404062 0.01975167]                
52 	100  	[0.00388031 0.         0.         0.00084286]                	[0.01040212 0.89655172 0.23664367 0.02581506]                	   	[0.00090313 0.09666631 0.02344796 0.00314779]                
53 	100  	[0.00566024 0.         0.         0.00083999]                	[0.01038895 0.89655172 0.0013506  0.02286907]                	   	[0.00054691 0.09227876 0.00016663 0.00260061]                
54 	100  	[0.00566038 0.         0.00108123 0.00084286]                	[0.01040739 0.15384615 0.00916704 0.01007082]                	   	[0.0004722  0.0153075  0.0007984  0.00091811]                
55 	100  	[0.00566036 0.         0.00011317 0.00084286]                	[0.01040943 0.17910448 0.01755497 0.02024283]                	   	[0.00075061 0.02775716 0.00180927 0.00212944]                
56 	100  	[0.00566039 0.         0.00108123 0.00083997]                	[0.00567176 0.         0.00128045 0.00084389]                	   	[1.99326485e-06 0.00000000e+00 6.34357606e-05 6.97480350e-07]
57 	100  	[0.00566032 0.         0.00108123 0.00084286]                	[0.01040753 0.15384615 0.00916704 0.0100706 ]                	   	[0.0004723  0.0153075  0.00079465 0.00091806]                
58 	100  	[0.00566023 0.         0.00108123 0.00084286]                	[0.0104021  0.15384615 0.00916704 0.01007581]                	   	[0.0006353  0.02153846 0.00107027 0.00125259]                
59 	100  	[0.00566039 0.         0.00108123 0.00083425]                	[0.00569421 0.         0.00121217 0.00084389]                	   	[3.53215270e-06 0.00000000e+00 6.53542480e-05 1.04437907e-06]
60 	100  	[0.00566027 0.         0.00108123 0.00084286]                	[0.01079426 0.15384615 0.00916704 0.01007581]                	   	[0.00069178 0.01539951 0.00100522 0.00112555]                
61 	100  	[0.00566039 0.         0.00108123 0.00084286]                	[0.00566328 0.         0.00121217 0.00084389]                	   	[1.23097170e-06 0.00000000e+00 5.59241478e-05 4.38035265e-07]
62 	100  	[5.66026868e-03 0.00000000e+00 1.08122669e-03 1.72826887e-05]	[1.10142462e-02 8.96551724e-01 5.71833648e-02 8.44384853e-04]	   	[9.13097293e-04 1.52940267e-01 9.55682697e-03 1.40936885e-04]
63 	100  	[0.00566027 0.         0.00108123 0.00084286]                	[0.00993364 0.89655172 0.00526116 0.00757076]                	   	[0.00054299 0.09079169 0.00050662 0.0006708 ]                
64 	100  	[5.66026868e-03 0.00000000e+00 5.38742709e-04 2.02929499e-05]	[0.01138528 0.89655172 0.03741269 0.00828955]                	   	[0.00094625 0.15582142 0.00363689 0.00098232]                
65 	100  	[0.00566031 0.         0.00108123 0.00084286]                	[0.0104021  0.15384615 0.00916704 0.01007582]                	   	[0.00080884 0.02624419 0.00135765 0.00157486]                
