array('d', [0.8424965177962078, 0.07068003553215375, 0.0003320323529788365]) ; (0.10162512108609682, 0.013216000997755533, 0.32142857142857145, 0.21428571428571427, 0.7319067023324417, 0.03046617917200004, 0.21756305271852025, 0.00018639039406197767, 1.2520614391164615, 0.024447220731378918)
array('d', [0.3060873155794109, 0.04055003460373368, 0.00028401585784377517]) ; (0.06238821862816931, 0.009329342070646363, 0.13636363636363635, 0.15384615384615385, 0.25491862703432416, 6.805909700261293e-07, 0.17110860421488197, 0.0001288777299781962, 0.5177317435435053, 0.013990773543177607)
array('d', [0.8149264190974397, 0.29638323672686484, 0.0001326379075638369]) ; (0.026663693772334303, 0.01294765887063165, 0.9, 0.8965517241379309, 1.0, 4.224788757921611e-07, 0.05332967952929337, 0.00011380976672164975, 0.057183364839319475, 0.004153511632167242)
array('d', [0.17551522848451578, 0.5849272987548753, 0.000308759287221042]) ; (0.028295250642614983, 0.015148099957597048, 0.9, 0.8965517241379309, 1.0, 1.5999200029999e-07, 0.0862242429834936, 9.796143284705608e-05, 0.25, 0.00396682251975519)
array('d', [0.6018619861114904, 0.08983990116067166, 0.0005832126593254929]) ; (0.06208832007714958, 0.011603394462170404, 0.08064516129032258, 0.09836065573770493, 0.16459588510287243, 8.555822203542434e-07, 0.20076570344675151, 0.00030396168446411673, 0.6031009506564057, 0.015321713030229736)
array('d', [0.7581508660786722, 0.14912565539490233, 0.00022486335508161933]) ; (0.060681817767449596, 0.012776991441594, 0.12307692307692308, 0.12698412698412698, 0.2277443063923402, 2.030523472557295e-06, 0.16871406101035374, 0.0002705717194366686, 0.3300135808057944, 0.01632547285163705)
array('d', [0.3958478072131861, 0.04868756010858148, 0.0002932721688998353]) ; (0.06789682743970071, 0.008617463209807852, 0.2191780821917808, 0.2361111111111111, 0.3713907152321192, 2.102394878942056e-06, 0.14803820914066748, 3.2455866558467324e-05, 0.45569028280250945, 0.01593757684560227)
array('d', [0.3060873155794109, 0.04055003460373368, 0.00028401585784377517]) ; (0.06238821862816931, 0.009329342070646363, 0.13636363636363635, 0.15384615384615385, 0.25491862703432416, 6.805909700261293e-07, 0.17110860421488197, 0.0001288777299781962, 0.5177317435435053, 0.013990773543177607)
array('d', [0.43333960618115736, 0.7369881310767427, 0.00021504781270019363]) ; (0.02915600271079936, 0.01555972061953059, 0.9, 0.8965517241379309, 1.0, 6.805909700261293e-07, 0.002492422269754191, 9.941736537380322e-05, 0.09262759924385634, 0.0041531407838463754)
array('d', [0.5577729072040267, 0.1451014758803064, 0.0009379340138492625]) ; (0.01648324044615889, 0.011296747587042417, 0.017857142857142856, 0.0, 0.020399490012749683, 4.899755009187194e-07, 0.15735617207555494, 0.00035257260777915155, 0.20877024590262705, 0.009228276024909682)
array('d', [0.3958478072131861, 0.04868756010858148, 0.0002932721688998353]) ; (0.06789682743970071, 0.008617463209807852, 0.2191780821917808, 0.2361111111111111, 0.3713907152321192, 2.102394878942056e-06, 0.14803820914066748, 3.2455866558467324e-05, 0.45569028280250945, 0.01593757684560227)
array('d', [0.3972499885589442, 0.7051550516378857, 0.0008884798083079974]) ; (0.029006565774080274, 0.015417677062991644, 0.9, 0.8965517241379309, 1.0, 6.3996800119996e-07, 0.0011821794417204625, 9.673656277274304e-05, 0.10633270321361059, 0.004142924905908313)
array('d', [0.8816860310569508, 0.44015680128196, 0.0007832529618145562]) ; (0.02808050509386836, 0.014474831398093004, 0.9, 0.8965517241379309, 1.0, 2.499875004687344e-07, 0.04561923918650309, 0.0001229914875847775, 0.011814744801512287, 0.004134164251230606)
array('d', [0.7937688333779784, 0.4472239935916916, 8.006614638646818e-05]) ; (0.028208079117764014, 0.014749775919473173, 0.9, 0.8965517241379309, 1.0, 1.8061596908866058e-07, 0.0413725061440832, 0.00012220263757756604, 0.004253308128544423, 0.004094097030176566)
array('d', [0.7581508660786722, 0.14912565539490233, 0.00022486335508161933]) ; (0.060681817767449596, 0.012776991441594, 0.12307692307692308, 0.12698412698412698, 0.2277443063923402, 2.030523472557295e-06, 0.16871406101035374, 0.0002705717194366686, 0.3300135808057944, 0.01632547285163705)
array('d', [0.6018619861114904, 0.08983990116067166, 0.0005832126593254929]) ; (0.06208832007714958, 0.011603394462170404, 0.08064516129032258, 0.09836065573770493, 0.16459588510287243, 8.555822203542434e-07, 0.20076570344675151, 0.00030396168446411673, 0.6031009506564057, 0.015321713030229736)
array('d', [0.8179162677001022, 0.6567352309168789, 0.0006446326008401736]) ; (0.029349238751583354, 0.01618028880606601, 0.9, 0.8965517241379309, 1.0, 2.4998750046873438e-09, 0.0272447989202319, 0.00012847020778187772, 0.007561436672967863, 0.0037409628456722306)
array('d', [0.43333960618115736, 0.7369881310767427, 0.00021504781270019363]) ; (0.02915600271079936, 0.01555972061953059, 0.9, 0.8965517241379309, 1.0, 6.805909700261293e-07, 0.002492422269754191, 9.941736537380322e-05, 0.09262759924385634, 0.0041531407838463754)
array('d', [0.6718919180064971, 0.08485428861024688, 0.0007688161234638784]) ; (0.0645374430211973, 0.010850047997401198, 0.09523809523809523, 0.1129032258064516, 0.18687032824179395, 1.0505724707198563e-06, 0.21189245088948397, 0.0003012099454971584, 0.7813602505153595, 0.015910239714490397)
array('d', [0.3958478072131861, 0.04868756010858148, 0.0002932721688998353]) ; (0.06789682743970071, 0.008617463209807852, 0.2191780821917808, 0.2361111111111111, 0.3713907152321192, 2.102394878942056e-06, 0.14803820914066748, 3.2455866558467324e-05, 0.45569028280250945, 0.01593757684560227)
array('d', [0.3060873155794109, 0.04055003460373368, 0.00028401585784377517]) ; (0.06238821862816931, 0.009329342070646363, 0.13636363636363635, 0.15384615384615385, 0.25491862703432416, 6.805909700261293e-07, 0.17110860421488197, 0.0001288777299781962, 0.5177317435435053, 0.013990773543177607)
array('d', [0.8033358891521613, 0.5397793821139834, 0.0009394295693169636]) ; (0.027366448147390456, 0.013575551886525341, 0.9, 0.8965517241379309, 1.0, 2.3255087231104014e-06, 0.043281474895166074, 9.602253662885523e-05, 0.0, 0.004258398074802938)
